trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
"53,False,""{'a': 0.3, 'e': 0.12003162851145673}"",25,0,14.485613505342217,""{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}"",0"
"54,False,""{'a': 0.3, 'e': 0.11532512103806251}"",25,13,25.938012355139836,""{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"55,False,""{'a': 0.3, 'e': 0.11080315836233387}"",20,3,7.141898755791967,""{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}"",1"
"56,False,""{'a': 0.3, 'e': 0.1064585043792528}"",25,16,5.34693183250869,""{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"57,False,""{'a': 0.3, 'e': 0.10228420671553744}"",20,9,24.06364933277295,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"58,False,""{'a': 0.3, 'e': 0.09827358560436156}"",20,8,4.941477539602832,""{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"59,False,""{'a': 0.3, 'e': 0.09442022319630235}"",20,11,16.599988051443898,""{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"60,False,""{'a': 0.3, 'e': 0.09071795328941251}"",30,0,11.237597555401678,""{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}"",0"
"61,False,""{'a': 0.3, 'e': 0.0871608514619813}"",25,7,30.12991063904557,""{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"62,False,""{'a': 0.3, 'e': 0.08374322559219596}"",20,10,17.9319806015173,""{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"63,False,""{'a': 0.3, 'e': 0.08045960674953243}"",35,9,36.25464797054636,""{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}"",1"
"64,False,""{'a': 0.3, 'e': 0.07730474044329974}"",30,12,32.486969120179054,""{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"65,False,""{'a': 0.3, 'e': 0.07427357821433388}"",20,0,-2.1259883822364696,""{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}"",0"
"66,False,""{'a': 0.3, 'e': 0.07136126955638605}"",25,14,20.44218762739422,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"67,False,""{'a': 0.3, 'e': 0.06856315415427791}"",35,17,23.066433792464153,""{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"68,False,""{'a': 0.3, 'e': 0.06587475442640295}"",20,6,13.13904399802082,""{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"69,False,""{'a': 0.3, 'e': 0.0632917683596407}"",20,14,7.949443599768477,""{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"70,False,""{'a': 0.3, 'e': 0.060810062625217945}"",20,6,23.72503284677096,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
